id_calc	use_no	id_measu	id_station	station	country	s_lat	s_lng	id_nuclide	name_nuclide	date_start	time_start	date_end	time_end	val	sigma_or_ldl	backgr
1 1 1  1 node_291_137 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 05:00:00 2020-04-18 05:00:10 0.00524513 8.3922E-4  6.0E-6
1 1 3  1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 07:00:00 2020-04-18 07:00:10 0.01818158 0.00290905 6.0E-6
1 1 4  1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 08:00:00 2020-04-18 08:00:10 0.03814321 0.00610291 6.0E-6
1 1 5  1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 09:00:00 2020-04-18 09:00:10 0.04771746 0.00763479 6.0E-6
1 1 6  1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 10:00:00 2020-04-18 10:00:10 0.03077517 0.00492403 6.0E-6
1 1 7  1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 11:00:00 2020-04-18 11:00:10 0.00891589 0.00142654 6.0E-6
1 1 8  1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 12:00:00 2020-04-18 12:00:10 0.00124652 1.9944E-4  6.0E-6
1 1 9  1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 13:00:00 2020-04-18 13:00:10 1.3097E-4  2.1E-5     6.0E-6
1 1 10 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 14:00:00 2020-04-18 14:00:10 9.6E-7     1.5E-7     6.0E-6
1 1 11 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 15:00:00 2020-04-18 15:00:10 0.0        0.0        6.0E-6
1 1 12 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 16:00:00 2020-04-18 16:00:10 1.1426E-4  1.83E-5    6.0E-6
1 1 13 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 17:00:00 2020-04-18 17:00:10 0.00414009 6.6241E-4  6.0E-6
1 1 14 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 18:00:00 2020-04-18 18:00:10 0.02838107 0.00454097 6.0E-6
1 1 15 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 19:00:00 2020-04-18 19:00:10 0.0516992  0.00827187 6.0E-6
1 1 16 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 20:00:00 2020-04-18 20:00:10 0.03917277 0.00626764 6.0E-6
1 1 17 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 21:00:00 2020-04-18 21:00:10 0.01503785 0.00240606 6.0E-6
1 1 18 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 22:00:00 2020-04-18 22:00:10 0.00435961 6.9754E-4  6.0E-6
1 1 19 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-18 23:00:00 2020-04-18 23:00:10 0.0026768  4.2829E-4  6.0E-6
1 1 20 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 00:00:00 2020-04-19 00:00:10 0.01201856 0.00192297 6.0E-6
1 1 21 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 01:00:00 2020-04-19 01:00:10 0.0566713  0.00906741 6.0E-6
1 1 22 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 02:00:00 2020-04-19 02:00:10 0.07849871 0.01255979 6.0E-6
1 1 23 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 03:00:00 2020-04-19 03:00:10 0.06059366 0.00969499 6.0E-6
1 1 24 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 04:00:00 2020-04-19 04:00:10 0.05526348 0.00884216 6.0E-6
1 1 25 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 05:00:00 2020-04-19 05:00:10 0.02873416 0.00459747 6.0E-6
1 1 26 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 06:00:00 2020-04-19 06:00:10 0.00174476 2.7916E-4  6.0E-6
1 1 27 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 07:00:00 2020-04-19 07:00:10 0.0 1.0E-6 6.0E-6
1 1 28 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 08:00:00 2020-04-19 08:00:10 0.0 1.0E-6 6.0E-6
1 1 29 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 09:00:00 2020-04-19 09:00:10 0.0 1.0E-6 6.0E-6
1 1 30 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 11:00:00 2020-04-19 11:00:10 0.0 1.0E-6 6.0E-6
1 1 31 1 node_291_138 Ukraine 50.85 30.05 3 Ru-106 2020-04-19 12:00:00 2020-04-19 12:00:10 0.0 1.0E-6 6.0E-6
